CODIGO;DESCRICAO
2122505;CAMISETA POLO AZUL P
2122506;CAMISETA POLO AZUL M
2122507;CAMISETA POLO AZUL G
2122508;CAMISETA POLO AZUL GG
2122509;CAMISETA POLO AZUL EXG
2101409;CAMISA REFLETIVO EXG
2101407;CAMISA REFLETIVO G
2101408;CAMISA REFLETIVO GG
2101406;CAMISA REFLETIVO M
2101405;CAMISA REFLETIVO P
2103556;CAMISA MANGA LONGA EXG
2102261;CAMISA MANGA LONGA G
2102262;CAMISA MANGA LONGA GG
2102260;CAMISA MANGA LONGA M
2102259;CAMISA MANGA LONGA P
2103557;CAMISA EXG
2102253;CAMISA G
2102254;CAMISA GG
2102252;CAMISA M
2102251;CAMISA P
2102256;CALÇA G
2102257;CALÇA GG
2102255;CALÇA M
2100721;CALÇA P
2102258;CALÇA EXG
2119689;CALÇA ESP
2101404;CALÇA REFLETIVO EXG
2101403;CALÇA REFLETIVO GG
2101402;CALÇA REFLETIVO G
2101401;CALÇA REFLETIVO M
2101400;CALÇA REFLETIVO P
20501;CANETA AZUL
2057448;PATINHO
2104210;CAIXA DE LUVA AZUL P
2104211;CAIXA DE LUVA AZUL M
2104212;CAIXA DE LUVA AZUL G
2104213;CAIXA DE LUVA AZUL GG
2104214;CAIXA DE LUVA AZUL XG
2108175;CARNEIRA JUGULAR CATRACA H700
2077906;CARNEIRA JUGULAR CATRACA H700
35572;PLUG
97072;MASCARA
2091875;CADEADO
2121860;ÓCULOS TRANSPARENTE
2058307;BLOCO DE OS
2121059;PALMILHA 33
2121060;PALMILHA 34
2121061;PALMILHA 35
2121062;PALMILHA 36
2121063;PALMILHA 37
2121064;PALMILHA 38
2121065;PALMILHA 39 
2121066;PALMILHA 40 
2121067;PALMILHA 41
2121068;PALMILHA 42
2121069;PALMILHA 43
2121070;PALMILHA 44
2121071;PALMILHA 45
2122871;LUVA 6
2122872;LUVA 7
2122873;LUVA 8
2122874;LUVA 9
2122875;LUVA 10
2121443;LUVA 11
2104796;PLUG P
2119627;BOTA 33
2119628;BOTA 34
2119629;BOTA 35
2119630;BOTA 36
2119631;BOTA 37
2119632;BOTA 38
2119633;BOTA 39
2119634;BOTA 40
2119635;BOTA 41
2119636;BOTA 42
2119637;BOTA 43
2119638;BOTA 44
2119639;BOTA 45
2119981;BOTA 46
2119982;BOTA 47
2119983;BOTA 48
2106270;BRACELETE BRIGADA P
2106271;BRACELETE BRIGADA M
2106272;BRACELETE BRIGADA G
2106273;BRACELETE BRIGADA GG
